id,name,style,type,grade,price,description,modelPath,imagePath
fig_angelic_choir_girl_mech,천사 메카닉 전사,메카닉,model,A,45000,성가 부르는 천사의 갑옷이 기계로 변신! 관절과 플레이트가 빛나는 메탈릭한 디자인. 차가운 기계미와 따뜻한 성가 의 조화가 매력 포인트. 수집가들의 눈길을 사로잡는 한정판.,assets/models/fig_angelic_choir_girl_mech.glb,
fig_angelic_choir_girl_pixel,픽셀 천사,복셀픽셀,model,B,18000,8비트 게임 속으로 들어온 천사 소녀. 블록으로 구성된 저폴리 모델이 레트로한 감성을 자아냅니다. 게임 속 아바타처럼 소장하면 추억의 향수가 느껴져요.,assets/models/fig_angelic_choir_girl_pixel.glb,
fig_angelic_choir_girl_plush,솜뭉치 천사,플러시,model,C,12000,부드러운 퍽스 소재로 만든 천사 인형. 안면의 결이 살아있는 리얼한 표정과 접힌 날개 디테일이 사랑스러워요. 침대 옆이나 소파에 두면 힐링되는 존재입니다.,assets/models/fig_angelic_choir_girl_plush.glb,
fig_angelic_choir_girl_vinyl,글로우 비닐 천사,바이닐토이,model,S,35000,"유리처럼 반짝이는 비닐 소재, 디자이너 토이답게 세련된 감성이 살아있습니다. 헤일로와 날개의 디테일이 빛을 발하며, 컬렉션의 포인트 아이템으로 주목받고 있어요.",assets/models/fig_angelic_choir_girl_vinyl.glb,
fig_arcade_mechanic_girl_chibi,아케이드 꼬마 수리공,치비,model,C,9000,레트로 아케이드 기계 옆에 무릎을 꿇은 귀여운 수리공. 렌치와 카트리지 벨트를 차르고 있는 포즈가 매력! 차비 스타일의 귀여움과 기계의 냉미가 어우러져요.,assets/models/fig_arcade_mechanic_girl_chibi.glb,
fig_arcade_mechanic_girl_clay,점토 수리공 소녀,클레이,model,B,22000,손으로 빚은 듯한 점토의 질감이 살아있는 수리공. 매트한 마감과 자연스러운 표정이 감성적인 분위기를 자아냅니다. 아케이드 기계 옆에서 작업하는 듯한 생동감이 느껴져요.,assets/models/fig_arcade_mechanic_girl_clay.glb,
fig_arcade_mechanic_girl_mech,메카닉 전사 수리공,메카닉,model,A,48000,수리공의 갑옷이 메카닉으로 변신! 관절과 플레이트가 빛나는 메탈릭한 디자인. 차가운 기계미와 따뜻한 수리공의 에너지가 조화를 이룹니다. 한정판 컬렉션의 주인공.,assets/models/fig_arcade_mechanic_girl_mech.glb,
fig_arcade_mechanic_girl_metallic,크롬 수리공,메탈릭,model,S,55000,"반짝이는 크롬 도금으로 완성된 메탈릭한 수리공. 렌치와 카트리지 벨트가 빛을 발하며, 기계의 냉기가 느껴져요. 수집가들의 시선을 사로잡는 프리미엄 아이템.",assets/models/fig_arcade_mechanic_girl_metallic.glb,
fig_arcade_mechanic_girl_plush,솜뭉치 수리공,플러시,model,C,13000,부드러운 퍽스 소재로 만든 수리공 인형. 안면의 결이 살아있는 리얼한 표정과 렌치가 사랑스러워요. 침대 옆이나 소파에 두면 힐링되는 존재입니다.,assets/models/fig_arcade_mechanic_girl_plush.glb,
fig_arcade_mechanic_girl_realistic,그레임메커니스트,리얼리스틱,model,A,85000,레트로 게임기 옆에 무릎을 꿇고 있는 리얼한 메커니스트. 오일 얼룩진 미소와 정밀한 공구 벨트가 그녀의 숙련된 손재주를 증명해. 차가운 금속과 따뜻한 감성의 완벽한 조화.,assets/models/fig_arcade_mechanic_girl_realistic.glb,
fig_arcade_mechanic_girl_stylized,치비메커니스트,스타일라이즈드,model,B,45000,"4个头높이의 귀여운 꼬마 메커니스트! 반짝이는 아케이드 기어와 유쾌한 웃음소리가 가득한 포즈. 책상 위에 올려두면 매일 설레는 하교길, 집안에서 가장 사랑받는 존재.",assets/models/fig_arcade_mechanic_girl_stylized.glb,
fig_arcade_mechanic_girl_vinyl,글로시빈일 메커니스트,바이닐토이,model,B,75000,유리 같은 광택이 빛나는 디자이너 토이. 오일 얼룩진 표정과 진한 감성이 어우러진 리얼한 디테일. 수집가들의 눈높이에 맞춰 정교하게 재현된 고가의 컬렉션.,assets/models/fig_arcade_mechanic_girl_vinyl.glb,
fig_arcade_mechanic_girl_wooden,목공메커니스트,우드카빙,model,C,55000,"손으로 깎아낸 따뜻한 나무 향기가 나는 민속 예술. 레트로 게임기 옆에 앉아있는 그녀의 표정은 마치 오래된 친구처럼 친근하고, 자연스러운 결이 매력 포인트.",assets/models/fig_arcade_mechanic_girl_wooden.glb,
fig_card_captor_wooden,목공카드캡처,우드카빙,model,A,95000,타로 카드가 날아다니는 마법소녀의 결의! 손으로 깎아낸 나무의 온기가 학교 교복과 카프의 매력을 더한다. 책상 위에 올려두면 매일 설레는 하교길.,assets/models/fig_card_captor_wooden.glb,
fig_cyber_diva_mech,로봇디바,메카닉,model,S,120000,"네온 스피커 스택 앞에 서 있는 메카닉 디바! 관절식 로봇 조인트와 광택 바디슈트, 레이저 힐까지 완벽한 사이버펑크 감성. 무대 위의 지배적 시선을 따라잡아라.",assets/models/fig_cyber_diva_mech.glb,
fig_cyber_diva_metallic,크롬디바,메탈릭,model,SS,180000,반사되는 크롬 도금 갑옷이 빛나는 불멸의 스타! 네온 조명 아래에서 반짝이는 메탈릭 표면은 고급스러움을 극대화. 무대 위의 절대적인 존재감을 느껴라.,assets/models/fig_cyber_diva_metallic.glb,
fig_cyber_diva_plush,솜뭉치디바,플러시,model,C,35000,부드러운 플러시 소재가 감싸는 따뜻한 디바! 네온 조명 아래에서도 촉촉한 감성을 잃지 않는 매끄러운 표피. 집안에서 가장 사랑받는 소품이 되어줄 귀여운 존재.,assets/models/fig_cyber_diva_plush.glb,
fig_cyber_diva_realistic,리얼디바,리얼리스틱,model,SSS,250000,정교한 비율과 디테일이 돋보이는 리얼한 디바! 네온 스피커 스택 앞에 서 있는 그녀의 눈빛은 무대 위의 절대적인 존재감을 보여준다. 완벽한 비주얼을 소유하라.,assets/models/fig_cyber_diva_realistic.glb,
fig_cyber_diva_vinyl,글로시디바,바이닐토이,model,S,130000,유리 같은 광택이 빛나는 디자이너 토이! 네온 조명 아래에서 반짝이는 바디슈트와 레이저 힐이 완벽한 사이버펑크 감성을 완성. 수집가들의 눈높이에 맞춰 정교하게 재현.,assets/models/fig_cyber_diva_vinyl.glb,
fig_cyber_diva_wooden,우드 스테이지 사이버 디바,우드카빙,model,A,85000,"네온 스피커 뒤편에서 우아한 포즈를 취한 그녀. 목공예로 정성껏 조각된 우드 피규어는 손끝의 디테일이 살아있어, 마치 진품 공예품처럼 느껴집니다. 한정판 컬러링과 함께 집 장식의 주인공이 되세요!",assets/models/fig_cyber_diva_wooden.glb,
fig_cyber_hacker_girl_pixel,픽셀 해커 소녀,복셀픽셀,model,B,45000,"8비트 게임 속의 해커가 현실로 돌아왔습니다! 블록으로 구성된 픽셀 아트 스타일은 귀여운 감성을 더하며, 홀로그램 키보드와 함께 책상 위에 올려두면 게임 시작 전의 설렘을 느끼게 합니다.",assets/models/fig_cyber_hacker_girl_pixel.glb,
fig_cyber_hacker_girl_plush,솜뭉치 해커 소녀,플러시,model,C,35000,"부드러운 털감의 뭉실한 피규어! 사이버 해커 소녀의 귀여운 표정과 투명 재킷이 어우러져, 책상 위에 올려두면 매일 설레는 하교길이 시작됩니다. 집어쥐고 놀고 싶은 매력 포인트!",assets/models/fig_cyber_hacker_girl_plush.glb,
fig_cyber_hacker_girl_vinyl,글로스 비닐 해커,바이닐토이,model,A,75000,"유광 비닐 재질의 디자이너 토이! 반짝이는 표면과 투명한 재킷 디테일이 빛을 발하며, 사이버 해커 소녀의 힙한 매력을 완벽하게 재현했습니다. 컬렉터들의 사랑을 받을 한정판 피규어입니다.",assets/models/fig_cyber_hacker_girl_vinyl.glb,
fig_dark_elf_chibi,SD 다크 엘프 마녀,치비,model,B,45000,"두个头 높이의 귀여운 SD 스타일! 마법을 부리는 포즈와 흐르는 은발이 매력 포인트. 집어쥐고 놀고 싶은 귀여움과 섹시함이 공존하는, 책상 위에 올려두면 매일 설레는 하교길이 시작됩니다.",assets/models/fig_dark_elf_chibi.glb,
fig_dark_elf_clay,클레이 다크 엘프,클레이,model,C,40000,"흙으로 빚은 듯한 매트한 질감! 다크 엘프 마녀의 마법을 부리는 포즈와 흐르는 은발이 매력 포인트. 집어쥐고 놀고 싶은 귀여움과 섹시함이 공존하는, 책상 위에 올려두면 매일 설레는 하교길이 시작됩니다.",assets/models/fig_dark_elf_clay.glb,
fig_dark_elf_mech,메카닉 다크 엘프,메카닉,model,A,95000,"로봇 관절과 갑옷 플레이트가 결합된 메카닉 스타일! 다크 엘프 마녀의 마법을 부리는 포즈와 흐르는 은발이 매력 포인트. 집어쥐고 놀고 싶은 귀여움과 섹시함이 공존하는, 책상 위에 올려두면 매일 설레는 하교길이 시작됩니다.",assets/models/fig_dark_elf_mech.glb,
fig_dark_elf_metallic,크롬 다크 엘프,메탈릭,model,S,120000,"반짝이는 크롬 도금 갑옷! 다크 엘프 마녀의 마법을 부리는 포즈와 흐르는 은발이 매력 포인트. 집어쥐고 놀고 싶은 귀여움과 섹시함이 공존하는, 책상 위에 올려두면 매일 설레는 하교길이 시작됩니다.",assets/models/fig_dark_elf_metallic.glb,
fig_dark_elf_pixel,픽셀 다크 엘프,복셀픽셀,model,B,45000,"8비트 게임 속의 다크 엘프가 현실로 돌아왔습니다! 블록으로 구성된 픽셀 아트 스타일은 귀여운 감성을 더하며, 홀로그램 키보드와 함께 책상 위에 올려두면 게임 시작 전의 설렘을 느끼게 합니다.",assets/models/fig_dark_elf_pixel.glb,
fig_dark_elf_plush,솜뭉치 다크 엘프,플러시,model,C,35000,"부드러운 털감의 뭉실한 피규어! 다크 엘프 마녀의 귀여운 표정과 은발이 어우러져, 책상 위에 올려두면 매일 설레는 하교길이 시작됩니다. 집어쥐고 놀고 싶은 매력 포인트!",assets/models/fig_dark_elf_plush.glb,
fig_dark_elf_realistic,실제감 다크엘프 마법사,리얼리스틱,model,SSS,180000,"은빛 머리카락이 바람에 흩날리는 다크엘프 마법사의 당당한 포즈. 손에 든 마법봉에서 퍼지는 빛이 주변을 비추며, 리얼한 표정 디테일이 수집가들의 숨을 멈추게 합니다.",assets/models/fig_dark_elf_realistic.glb,
fig_dark_elf_vinyl,글로시 비닐 다크엘프,바이닐토이,model,SSS,150000,"유리처럼 반짝이는 비닐 재질의 도금 갑옷이 빛을 머금는다. 마법사의 미소 한 번에 마음이 흔들리는, 컬렉터블한 디자인의 비닐 피규어.",assets/models/fig_dark_elf_vinyl.glb,
fig_dark_elf_wooden,수제 목공 다크엘프,우드카빙,model,SSS,250000,"고대 마법사의 숲에서 발견된 듯한 수제 목공품. 손으로 조각한 디테일과 은은한 나무 향기가 느껴지며, 귀중품 같은 고급스러운 분위기를 자아낸다.",assets/models/fig_dark_elf_wooden.glb,
fig_devilish_schoolgirl_plush,뭉실 데빌 스쿨걸,플러시,model,A,45000,부드러운 솜뭉치 재질의 데빌 스쿨걸이 꼬리를 흔들며 웃는다. 하트 모양의 삼지창을 들고 있는 귀여운 포즈가 집안 분위기를 밝게 만들어준다.,assets/models/fig_devilish_schoolgirl_plush.glb,
fig_dream_healer_chibi,SD 드림힐러 귀여우미,치비,model,SS,85000,두个头 높이의 귀여운 SD 힐러가 플러시 피규어와 포옹한다. 부드러운 파스텔빛 ау라와 웃는 얼굴이 보는 이로 하여금 설레게 만든다.,assets/models/fig_dream_healer_chibi.glb,
fig_dream_healer_mech,메카닉 드림힐러,메카닉,model,SS,120000,"정밀한 관절과 갑옷이 달린 메카닉 힐러. 플러시 피규어를 안고 있는 포즈와 함께, 미래지향적인 디자인이 게이머들의 취향을 사로잡는다.",assets/models/fig_dream_healer_mech.glb,
fig_dream_healer_metallic,크롬 드림힐러,메탈릭,model,SSS,160000,반사되는 크롬 도금 표면에 힐러의 온기가 묻어났다. 빛을 머금은 메탈릭 피규어는 수집가들의 소장욕을 자극하는 완벽한 디자인이다.,assets/models/fig_dream_healer_metallic.glb,
fig_dream_healer_pixel,픽셀 드림힐러,복셀픽셀,model,SS,95000,"블록 아트 스타일의 픽셀 힐러가 플러시 피규어와 포옹한다. 레트로한 감성과 귀여운 포즈가 어우러져, 게임 팬들에게 사랑받는 아이템이다.",assets/models/fig_dream_healer_pixel.glb,
fig_dream_healer_realistic,리얼 드림힐러,리얼리스틱,model,SSS,140000,실제감 있는 디테일과 표정으로 힐러의 온기가 느껴진다. 플러시 피규어와 포옹하는 포즈가 보는 이로 하여금 따뜻한 감동을 선사한다.,assets/models/fig_dream_healer_realistic.glb,
fig_dream_healer_stylized,스타일드 드림힐러,스타일라이즈드,model,SS,110000,4个头 높이의 캐주얼한 스타일드 힐러가 플러시 피규어와 포옹한다. 부드러운 파스텔빛 ау라와 웃는 얼굴이 보는 이로 하여금 설레게 만든다.,assets/models/fig_dream_healer_stylized.glb,
fig_dream_healer_vinyl,뽀송한 마법소녀 비닐,바이닐토이,model,C,15000,"부드러운 비닐 재질에 따뜻한 빛이 감도는 마법소녀. 귀여운 표정과 포즈가 마음을 녹이며, 수집가들의 마음을 사로잡는 한정판 아이템.",assets/models/fig_dream_healer_vinyl.glb,
fig_dream_healer_wooden,수공 목재 마법소녀,우드카빙,model,B,45000,"손으로 조각한 따뜻한 목재의 감촉. 자연스러운 질감과 마법소녀의 순수한 마음이 어우러진, 소장 가치가 높은 아티스트 피규어.",assets/models/fig_dream_healer_wooden.glb,
fig_fallen_angel_chibi,SD 천사 꼬마,치비,model,A,35000,2个头 높이의 귀여운 SD 포즈. 깨진 할로와 흑백 날개를 가진 천사의 슬픈 표정이 오타쿠 감성을 자극하는 컬렉터블 피규어.,assets/models/fig_fallen_angel_chibi.glb,
fig_fallen_angel_clay,매트 클레이 천사,클레이,model,A,38000,매트한 클레이 표면에 흐르는 우울한 미소. 손으로 빚은 듯한 자연스러운 질감이 천사의 비극적인 이야기를 더 생생하게 만들어.,assets/models/fig_fallen_angel_clay.glb,
fig_fallen_angel_mech,메카 천사,메카닉,model,S,85000,강철 관절과 갑옷이 빛나는 메카닉 천사. 관절의 움직임이 살아있는 디테일과 차가운 금속의 매력이 어우러진 고급 피규어.,assets/models/fig_fallen_angel_mech.glb,
fig_fallen_angel_metallic,크롬 천사,메탈릭,model,S,95000,반짝이는 크롬 도금과 매끄러운 금속 표면. 빛을 반사하는 완벽한 광택과 날카로운 디자인이 소장욕을 자극하는 프리미엄 피규어.,assets/models/fig_fallen_angel_metallic.glb,
fig_fallen_angel_pixel,픽셀 천사,복셀픽셀,model,A,32000,로우폴리 픽셀 아트 스타일의 블록 천사. 레트로 게임 감성을 살린 독특한 디자인과 귀여운 포즈가 오타쿠들의 마음을 사로잡.,assets/models/fig_fallen_angel_pixel.glb,
fig_fallen_angel_plush,솜뭉치 천사,플러시,model,B,28000,부드러운 천으로 만든 뭉실한 천사. 껴안고 싶게 만드는 포근한 촉감과 천사의 슬픈 표정이 어우러진 감성적인 피규어.,assets/models/fig_fallen_angel_plush.glb,
fig_fallen_angel_realistic,리얼 천사,리얼리스틱,model,SS,180000,실사급 디테일과 자연스러운 비율의 천사. 피부 질감과 눈빛까지 완벽하게 재현한 생동감 넘치는 프리미엄 컬렉터블 피규어.,assets/models/fig_fallen_angel_realistic.glb,
fig_fallen_angel_stylized,카툰 천사,스타일라이즈드,model,A,36000,"4个头 높이의 귀여운 카툰 스타일. 과장된 비율과 생동감 넘치는 색상이 어우러진, 오타쿠 감성을 자극하는 컬렉터블 피규어.",assets/models/fig_fallen_angel_stylized.glb,
fig_fallen_angel_vinyl,검은 날개 천사 비닐,바이닐토이,model,A,45000,"어둠과 빛이 공존하는 파멸의 천사. 깨진 성호 아래 무릎을 꿇은 그녀는 슬픔과 아름다움이 공존하는 눈빛으로 당신을 유혹한다. 고광택 비닐 재질의 매끄러운 피부와 섬세한 프릴 디테일이 실감나게 표현되어 있어, 책상 위에 올려두면 매일 설레는 수집품.",assets/models/fig_fallen_angel_vinyl.glb,
fig_fallen_angel_wooden,수제 목공 천사 조각,우드카빙,model,S,120000,"손으로 깎아 만든 따뜻한 나무 향이 느껴지는 전설의 조각. 검은 날개와 흰 날개를 가진 그녀는 고대 민속 공예의 정수를 담고 있어, 단순한 장식품을 넘어선 예술品的 가치를 지닌 한정판 컬렉션 아이템.",assets/models/fig_fallen_angel_wooden.glb,
fig_ice_queen_chibi,얼음 여왕 SD 꼬마,치비,model,B,15000,얼음 왕좌에서 교차한 다리를 뽐내는 귀여운 SD 피규어! 두个头 높이의 포즈가 매력적인 이 꼬마 여왕은 차가운 미소와 눈빛으로 당신의 마음을 녹여버릴 거야. 방에 두면 매일 눈이 가는 귀여운 수집품.,assets/models/fig_ice_queen_chibi.glb,
fig_ice_queen_clay,점토 여왕 무광 피규어,클레이,model,B,18000,"거친 점토 질감이 매력적인 무광 마감의 여왕 피규어. 얼음 왕좌에 앉아 있는 그녀의 차분한 표정과 손에 쥔 결빙 지팡이 디테일이 완벽하게 재현되어 있어, 손끝에서 느껴지는 따뜻한 온기가 감동을 선사한다.",assets/models/fig_ice_queen_clay.glb,
fig_ice_queen_mech,메카닉 얼음 여왕,메카닉,model,S,95000,기계적 관절과 갑옷 판재가 결합된 미래형 얼음 여왕! 관절이 움직이고 조립된 메카닉 디자인은 게임 속 캐릭터를 현실로 불러온 듯한 몰입감을 선사한다. 테크니컬한 디테일과 차가운 미소가 오타쿠들의 수집욕을 자극.,assets/models/fig_ice_queen_mech.glb,
fig_ice_queen_metallic,크롬 얼음 여왕,메탈릭,model,SS,150000,"반사되는 크롬 도금 표면이 빛을 머금은 초고급 얼음 여왕! 매끄러운 금속 광택과 차가운 미소는 고급스러운 분위기를 자아내며, 선물용으로도 손색없는 한정판 프리미엄 피규어다. 책상 위에 놓으면 빛나는 존재감.",assets/models/fig_ice_queen_metallic.glb,
fig_ice_queen_pixel,픽셀 얼음 여왕,복셀픽셀,model,A,40000,8비트 게임 속으로 돌아온 블록 피규어! 로우폴리곤 디자인의 픽셀 얼음 여왕은 레트로 감성과 귀여운 포즈가 어우러져 오타쿠들의 취향을 사로잡는다. 책상 위에 올려두면 게임 속 아바타처럼 설레는 수집품.,assets/models/fig_ice_queen_pixel.glb,
fig_ice_queen_plush,뭉실 얼음 여왕,플러시,model,B,12000,"부드러운 천 소재로 만든 뭉실한 얼음 여왕! 차가운 표정과 따뜻한 촉감이 대비되는 귀여운 스타이치 피규어. 방에 두면 안아주고 싶은 포근한 느낌으로, 오타쿠들의 취향을 완벽하게 충족시키는 컬렉션 아이템.",assets/models/fig_ice_queen_plush.glb,
fig_ice_queen_realistic,리얼 얼음 여왕,리얼리스틱,model,SSS,280000,"실사급 디테일로 완성된 완벽한 얼음 여왕! 섬세한 피부 질감과 눈빛, 얼음 왕좌의 조각 디테일이 마치 살아있는 듯한 생동감을 선사한다. 고가의 수집품이지만 그 가치가 입증되는 한정판 프리미엄 피규어.",assets/models/fig_ice_queen_realistic.glb,
fig_ice_queen_vinyl,디자이너 얼음 여왕,바이닐토이,model,A,45000,고광택 비닐 재질의 디자이너 토이 얼음 여왕! 매끄러운 피부와 차가운 미소가 어우러진 귀여운 포즈는 오타쿠들의 취향을 완벽하게 충족시킨다. 책상 위에 올려두면 매일 설레는 귀여운 수집품.,assets/models/fig_ice_queen_vinyl.glb,
fig_ice_queen_wooden,겨울의 목공 아티스트,우드카빙,model,A,85000,"수공으로 조각된 목재의 온기가 느껴지는 얼음 여왕. 차가운 미소와 눈부신 스캐폴드 의상이 어우러져, 집안 장식용으로도 완벽한 포인트 피규어입니다.",assets/models/fig_ice_queen_wooden.glb,
fig_magical_girl_star_chibi,별빛 꼬마 마법소녀,치비,model,B,35000,두 배 작은 귀여운 표정으로 별봉을 휘두르는 마법소녀. 뭉실 뭉실한 리본과 브로치가 달린 이 SD 피규어는 책상 위에 올려두면 매일 설레는 하루가 됩니다.,assets/models/fig_magical_girl_star_chibi.glb,
fig_magical_girl_star_clay,점토의 마법 소녀,클레이,model,A,72000,"손으로 빚은 듯한 따뜻한 점토 질감. 마법소녀의 밝은 미소와 스카프가 어우러져, 집안 장식용으로 완벽한 포인트 피규어입니다.",assets/models/fig_magical_girl_star_clay.glb,
fig_magical_girl_star_mech,메탈 메카 마법소녀,메카닉,model,S,120000,"기계식 관절과 갑옷이 결합된 마법소녀. 별봉을 휘두르는 포즈와 리본 디테일이 완벽하게 재현되어, 메카닉과 마법을 모두 좋아하는 수집가에게 완벽한 피규어입니다.",assets/models/fig_magical_girl_star_mech.glb,
fig_magical_girl_star_metallic,크롬하트 마법소녀,메탈릭,model,SS,150000,"반짝이는 크롬 도금 갑옷과 리플렉티브 표면이 빛을 머금습니다. 마법소녀의 밝은 미소와 스카프가 어우러져, 집안 장식용으로 완벽한 포인트 피규어입니다.",assets/models/fig_magical_girl_star_metallic.glb,
fig_magical_girl_star_pixel,픽셀 블록 마법소녀,복셀픽셀,model,A,65000,"록 폴리 블록이 모여든 마법소녀. 별봉을 휘두르는 포즈와 리본 디테일이 완벽하게 재현되어, 게임 감성과 마법을 모두 좋아하는 수집가에게 완벽한 피규어입니다.",assets/models/fig_magical_girl_star_pixel.glb,
fig_magical_girl_star_plush,솜뭉치 마법소녀,플러시,model,B,45000,"부드러운 플러시 소재로 만든 마법소녀. 별봉을 휘두르는 포즈와 리본 디테일이 완벽하게 재현되어, 게임 감성과 마법을 모두 좋아하는 수집가에게 완벽한 피규어입니다.",assets/models/fig_magical_girl_star_plush.glb,
fig_magical_girl_star_realistic,리얼 마법소녀,리얼리스틱,model,S,180000,"실제 인물처럼 섬세한 비율과 디테일로 완성된 마법소녀. 별봉을 휘두르는 포즈와 리본 디테일이 완벽하게 재현되어, 게임 감성과 마법을 모두 좋아하는 수집가에게 완벽한 피규어입니다.",assets/models/fig_magical_girl_star_realistic.glb,
fig_magical_girl_star_stylized,카툰 마법소녀,스타일라이즈드,model,A,75000,4 배 큰 귀여운 표정으로 별봉을 휘두르는 마법소녀. 뭉실 뭉실한 리본과 브로치가 달린 이 SD 피규어는 책상 위에 올려두면 매일 설레는 하루가 됩니다.,assets/models/fig_magical_girl_star_stylized.glb,
fig_magical_girl_star_vinyl,글로시 비닐 마법소녀,바이닐토이,model,A,95000,"광택이 나는 비닐 소재로 만든 마법소녀. 별봉을 휘두르는 포즈와 리본 디테일이 완벽하게 재현되어, 게임 감성과 마법을 모두 좋아하는 수집가에게 완벽한 피규어입니다.",assets/models/fig_magical_girl_star_vinyl.glb,
fig_magical_girl_star_wooden,목공 마법소녀 스타,우드카빙,model,A,85000,"손으로 조각한 나무의 온기가 느껴지는 마법소녀 스타. 밝은 미소와 스와이하는 스타 Wand가 귀여운 분위기를 자아내며, 목재의 자연스러운 결이 수집가들의 감성을 자극합니다.",assets/models/fig_magical_girl_star_wooden.glb,
fig_mecha_pilot_girl_plush,플러시 미소녀 메카 파일럿,플러시,model,B,65000,"부드러운 플러시 소재로 만든 미소녀 메카 파일럿. 콕핏에서 내려오는 자신감 넘치는 표정과 플러그슈트 디테일이 돋보이며, 방에 놓으면 따뜻한 감성을 선사합니다.",assets/models/fig_mecha_pilot_girl_plush.glb,
fig_moon_princess_chibi,초소형 달공주,치비,model,S,95000,"2个头身比例的SD 달공주. 달빛처럼 은은한 눈빛과 쌍발머리가 귀여운 분위기를 자아내며, 초록색 스태프를 들고 있는 포즈가 수집가들의 마음을 사로잡습니다.",assets/models/fig_moon_princess_chibi.glb,
fig_moon_princess_mech,메카 달공주,메카닉,model,A,75000,"기계식 관절과 갑옷 판재가 결합된 달공주. 메카닉과 마법소녀의 완벽한 조화가 돋보이며, 은은한 눈빛과 쌍발머리가 메카의 차가운 느낌을 부드럽게 완화합니다.",assets/models/fig_moon_princess_mech.glb,
fig_moon_princess_metallic,크롬 달공주,메탈릭,model,S,120000,"폴리시드 크롬 마감의 달공주. 반사되는 금속 표면에 달빛이 비추며, 쌍발머리와 스태프가 빛나는 디테일이 돋보입니다. 수집가들의 눈길을 사로잡는 고급스러운 피규어입니다.",assets/models/fig_moon_princess_metallic.glb,
fig_moon_princess_pixel,픽셀 달공주,복셀픽셀,model,B,55000,"voxel 픽셀 아트의 달공주. 저폴리 블록이 매력적인 디자인이 돋보이며, 초록색 스태프와 쌍발머리가 픽셀 아트 특유의 귀여운 분위기를 자아냅니다.",assets/models/fig_moon_princess_pixel.glb,
fig_moon_princess_plush,뭉실 달공주,플러시,model,B,60000,"부드러운 플러시 소재의 달공주. 달빛처럼 은은한 눈빛과 쌍발머리가 플러시 소재의 부드러움을 더하며, 방에 놓으면 따뜻한 감성을 선사합니다.",assets/models/fig_moon_princess_plush.glb,
fig_moon_princess_realistic,리얼 달공주,리얼리스틱,model,SS,150000,"실사급 디테일의 달공주. 초록색 스태프와 쌍발머리가 리얼한 피부 질감과 눈빛으로 표현되며, 수집가들의 눈길을 사로잡는 고급스러운 피규어입니다.",assets/models/fig_moon_princess_realistic.glb,
fig_moon_princess_vinyl,비닐 달공주,바이닐토이,model,A,80000,"글로시 비닐 디자이너 토이 달공주. 광택이 나는 비닐 소재가 달빛을 반사하며, 쌍발머리와 스태프가 빛나는 디테일이 돋보입니다. 수집가들의 눈길을 사로잡는 고급스러운 피규어입니다.",assets/models/fig_moon_princess_vinyl.glb,
